"['Buster', 'G.O.B.']","['Buster', 'George Michael']","['Buster', 'George']","['Buster', 'Lindsay']","['Buster', 'Lucille']","['Buster', 'Maeby']","['Buster', 'Michael']","['Buster', 'Tobias']","['G.O.B.', 'George Michael']","['G.O.B.', 'George']","['G.O.B.', 'Lindsay']","['G.O.B.', 'Lucille']","['G.O.B.', 'Maeby']","['G.O.B.', 'Michael']","['G.O.B.', 'Tobias']","['George Michael', 'Lindsay']","['George Michael', 'Lucille']","['George Michael', 'Maeby']","['George Michael', 'Michael']","['George Michael', 'Tobias']","['George', 'George Michael']","['George', 'Lindsay']","['George', 'Lucille']","['George', 'Maeby']","['George', 'Michael']","['George', 'Tobias']","['Lindsay', 'Lucille']","['Lindsay', 'Maeby']","['Lindsay', 'Michael']","['Lindsay', 'Tobias']","['Lucille', 'Maeby']","['Lucille', 'Michael']","['Lucille', 'Tobias']","['Maeby', 'Michael']","['Maeby', 'Tobias']","['Michael', 'Tobias']",episode
8.0,4.0,2.0,7.0,9.0,2.0,8.0,6.0,7.0,2.0,9.0,9.0,2.0,11.0,8.0,7.0,4.0,10.0,10.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,12.0,5.0,15.0,13.0,4.0,14.0,10.0,2.0,2.0,11.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,1.0,5.0,2.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,4.0,9.0,9.0,2.0,7.0,2.0,6.0,3.0,7.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Top_Banana
5.0,0.0,1.0,5.0,5.0,0.0,16.0,1.0,1.0,0.0,7.0,2.0,1.0,9.0,2.0,2.0,0.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,8.0,3.0,0.0,4.0,0.0,3.0,8.0,6.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Bringing_Up_Buster
2.0,0.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,8.0,1.0,6.0,0.0,11.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Key_Decisions
0.0,1.0,0.0,1.0,4.0,0.0,7.0,0.0,6.0,2.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Charity_Drive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,8.0,9.0,1.0,2.0,0.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0,7.0,0.0,8.0,0.0,0.0,1.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Visiting_Ours
0.0,2.0,0.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,2.0,14.0,6.0,4.0,10.0,7.0,1.0,6.0,3.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_In_God_We_Trust
1.0,1.0,0.0,1.0,3.0,1.0,5.0,0.0,3.0,0.0,8.0,4.0,1.0,13.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,"https://arresteddevelopment.fandom.com/wiki/Transcript_of_My_Mother,_the_Car"
2.0,1.0,2.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0,10.0,8.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,4.0,0.0,3.0,6.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Storming_the_Castle
1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,4.0,4.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pier_Pressure
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,5.0,9.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,10.0,4.0,2.0,9.0,2.0,3.0,2.0,2.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Public_Relations
4.0,1.0,1.0,2.0,6.0,0.0,6.0,2.0,1.0,1.0,2.0,2.0,0.0,8.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,3.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Marta_Complex
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Beef_Consomm%C3%A9
0.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,0.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Shock_and_Aww
6.0,1.0,0.0,4.0,3.0,0.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Staff_Infection
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,13.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,6.0,0.0,4.0,0.0,2.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Altar_Egos
1.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,3.0,1.0,8.0,4.0,2.0,0.0,8.0,4.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,2.0,2.0,6.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Justice_Is_Blind
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,4.0,1.0,14.0,0.0,4.0,1.0,3.0,12.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,5.0,7.0,9.0,0.0,1.0,5.0,0.0,6.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Missing_Kitty
6.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,8.0,0.0,2.0,0.0,8.0,2.0,3.0,1.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,6.0,4.0,5.0,1.0,1.0,1.0,2.0,5.0,10.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Best_Man_for_the_Gob
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,7.0,2.0,0.0,7.0,2.0,1.0,3.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,6.0,3.0,0.0,12.0,0.0,1.0,1.0,8.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Whistler%27s_Mother
0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,9.0,0.0,6.0,0.0,3.0,8.0,7.0,3.0,0.0,2.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,4.0,0.0,4.0,0.0,16.0,4.0,7.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Not_Without_My_Daughter
3.0,0.0,0.0,3.0,2.0,0.0,4.0,1.0,1.0,3.0,5.0,8.0,1.0,8.0,1.0,2.0,0.0,2.0,7.0,1.0,0.0,0.0,5.0,0.0,6.0,0.0,3.0,1.0,10.0,7.0,1.0,6.0,2.0,4.0,0.0,3.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Let_%27Em_Eat_Cake
4.0,4.0,2.0,2.0,8.0,3.0,9.0,1.0,4.0,2.0,3.0,3.0,3.0,12.0,1.0,3.0,5.0,3.0,13.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,9.0,5.0,3.0,10.0,0.0,4.0,0.0,5.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_The_One_Where_Michael_Leaves
3.0,2.0,0.0,0.0,6.0,0.0,4.0,2.0,2.0,4.0,0.0,3.0,0.0,16.0,2.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,5.0,3.0,1.0,10.0,1.0,2.0,1.0,3.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_The_One_Where_They_Build_a_House
4.0,4.0,0.0,3.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_%C2%A1Amigos!
6.0,3.0,3.0,4.0,3.0,4.0,6.0,1.0,3.0,3.0,5.0,5.0,5.0,9.0,1.0,4.0,3.0,3.0,10.0,2.0,6.0,4.0,1.0,3.0,5.0,0.0,3.0,7.0,9.0,3.0,3.0,6.0,1.0,6.0,2.0,2.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Good_Grief
4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,10.0,0.0,2.0,6.0,6.0,1.0,0.0,8.0,0.0,2.0,0.0,5.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Sad_Sack
3.0,2.0,0.0,1.0,3.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,15.0,2.0,9.0,2.0,4.0,6.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,6.0,6.0,5.0,2.0,15.0,3.0,13.0,1.0,5.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Afternoon_Delight
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,4.0,13.0,4.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,5.0,3.0,0.0,5.0,0.0,5.0,5.0,5.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Switch_Hitter
1.0,0.0,0.0,0.0,2.0,0.0,10.0,4.0,1.0,0.0,2.0,0.0,0.0,13.0,3.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Queen_for_a_Day
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,1.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,5.0,3.0,0.0,10.0,0.0,2.0,0.0,6.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Burning_Love
