Buster+G.O.B.,Buster+George_Michael,Buster+George,Buster+Lindsay,Buster+Lucille,Buster+Maeby,Buster+Michael,Buster+Oscar,Buster+Tobias,G.O.B.+George_Michael,G.O.B.+George,G.O.B.+Lindsay,G.O.B.+Lucille,G.O.B.+Maeby,G.O.B.+Michael,G.O.B.+Oscar,G.O.B.+Tobias,George_Michael+Lindsay,George_Michael+Lucille,George_Michael+Maeby,George_Michael+Michael,George_Michael+Oscar,George_Michael+Tobias,George+George_Michael,George+Lindsay,George+Lucille,George+Maeby,George+Michael,George+Oscar,George+Tobias,Lindsay+Lucille,Lindsay+Maeby,Lindsay+Michael,Lindsay+Oscar,Lindsay+Tobias,Lucille+Maeby,Lucille+Michael,Lucille+Oscar,Lucille+Tobias,Maeby+Michael,Maeby+Oscar,Maeby+Tobias,Michael+Oscar,Michael+Tobias,Oscar+Tobias,episode,title_y,rating,numVotes
8.0,4.0,0.0,7.0,9.0,2.0,8.0,0.0,6.0,7.0,0.0,9.0,9.0,2.0,11.0,0.0,8.0,7.0,4.0,10.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,15.0,0.0,13.0,4.0,14.0,0.0,10.0,2.0,0.0,2.0,0.0,11.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Pilot,8.2,2802.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,5.0,2.0,9.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,4.0,9.0,0.0,9.0,2.0,7.0,0.0,2.0,6.0,0.0,3.0,0.0,7.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Top_Banana,Top Banana,8.5,2447.0
5.0,0.0,0.0,5.0,5.0,0.0,16.0,0.0,1.0,1.0,0.0,7.0,2.0,1.0,9.0,0.0,2.0,2.0,0.0,8.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,8.0,0.0,6.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Bringing_Up_Buster,Bringing Up Buster,8.2,2251.0
2.0,0.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,11.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Key_Decisions,Key Decisions,8.4,2129.0
0.0,1.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Charity_Drive,Charity Drive,8.3,2019.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,8.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Visiting_Ours,Visiting Ours,8.2,1954.0
0.0,2.0,0.0,4.0,4.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,14.0,0.0,6.0,4.0,10.0,0.0,7.0,1.0,0.0,6.0,0.0,3.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_In_God_We_Trust,In God We Trust,8.2,1910.0
1.0,1.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,8.0,4.0,1.0,13.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"https://arresteddevelopment.fandom.com/wiki/Transcript_of_My_Mother,_the_Car",My Mother the Car,8.2,1878.0
2.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,10.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Storming_the_Castle,Storming the Castle,8.5,1847.0
1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pier_Pressure,Pier Pressure,9.2,2374.0
